cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",69590,"(+/- 5820 )",29313,"(+/- 4134 )",62344,"(+/- 6080 )",83121,"(+/- 5718 )",93449,"(+/- 7090 )",64944,"(+/- 4573 )",107838,"(+/- 7549 )",93103,"(+/- 5976 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",165437,"(+/- 5342 )",165083,"(+/- 6724 )",192455,"(+/- 4531 )",181772,"(+/- 3629 )",184318,"(+/- 3953 )",195052,"(+/- 4441 )",188865,"(+/- 2814 )",173572,"(+/- 3117 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",8205,"(+/- 1793 )",3032,"(+/- 1108 )",10396,"(+/- 2517 )",16179,"(+/- 2545 )",14940,"(+/- 3315 )",11545,"(+/- 1875 )",17964,"(+/- 3080 )",12425,"(+/- 2267 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",12.2,"(+/- 1.6 )",3.1,"(+/- 0.8 )",5.6,"(+/- 0.9 )",9.1,"(+/- 1.1 )",10.5,"(+/- 1.1 )",6.7,"(+/- 0.9 )",10.3,"(+/- 1.3 )",13.8,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",20.1,"(+/- 2.8 )",5.0,"(+/- 1.6 )",8.6,"(+/- 1.7 )",14.2,"(+/- 1.9 )",18.5,"(+/- 2.2 )",10.6,"(+/- 1.8 )",15.8,"(+/- 2.3 )",22.5,"(+/- 2.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",16.1,"(+/- 6.9 )",2.5,"(+/- 2.0 )",6.7,"(+/- 3.5 )",14.8,"(+/- 4.3 )",17.7,"(+/- 5.9 )",12.5,"(+/- 4.6 )",15.7,"(+/- 4.6 )",22.7,"(+/- 6.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",5.0,"(+/- 1.4 )",1.3,"(+/- 0.4 )",2.6,"(+/- 0.7 )",5.0,"(+/- 0.9 )",3.9,"(+/- 1.0 )",3.1,"(+/- 0.6 )",6.0,"(+/- 1.1 )",6.9,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",8.0,"(+/- 3.2 )",1.2,"(+/- 0.7 )",2.5,"(+/- 1.0 )",6.1,"(+/- 1.6 )",6.0,"(+/- 2.1 )",3.5,"(+/- 0.9 )",7.7,"(+/- 1.8 )",9.0,"(+/- 2.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",3.0,"(+/- 3.4 )",1.4,"(+/- 1.8 )",0.7,"(+/- 0.9 )",6.4,"(+/- 4.7 )",7.8,"(+/- 5.2 )",4.9,"(+/- 3.1 )",7.1,"(+/- 4.5 )",8.2,"(+/- 5.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",22.5,"(+/- 3.7 )",14.8,"(+/- 5.2 )",21.3,"(+/- 4.3 )",25.2,"(+/- 4.4 )",29.6,"(+/- 3.7 )",24.3,"(+/- 4.0 )",28.9,"(+/- 5.6 )",36.4,"(+/- 4.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",31.3,"(+/- 5.1 )",20.7,"(+/- 7.6 )",30.7,"(+/- 6.8 )",32.8,"(+/- 5.8 )",40.6,"(+/- 5.0 )",32.6,"(+/- 5.9 )",38.0,"(+/- 7.7 )",48.2,"(+/- 5.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",27.3,"(+/- 13.5 )",10.5,"(+/- 10.3 )",36.8,"(+/- 21.9 )",29.2,"(+/- 12.6 )",38.7,"(+/- 14.0 )",36.3,"(+/- 15.6 )",39.0,"(+/- 14.7 )",46.1,"(+/- 14.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",16.4,"(+/- 1.4 )",5.1,"(+/- 0.9 )",8.2,"(+/- 0.8 )",14.8,"(+/- 1.3 )",14.3,"(+/- 1.1 )",11.2,"(+/- 1.1 )",16.0,"(+/- 1.0 )",18.0,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",22.4,"(+/- 3.6 )",5.8,"(+/- 1.7 )",11.0,"(+/- 2.0 )",18.3,"(+/- 2.9 )",21.9,"(+/- 2.7 )",14.5,"(+/- 2.6 )",19.5,"(+/- 2.3 )",24.0,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",22.0,"(+/- 3.7 )",5.6,"(+/- 1.7 )",10.2,"(+/- 2.0 )",17.9,"(+/- 2.9 )",21.6,"(+/- 2.8 )",13.9,"(+/- 2.6 )",18.8,"(+/- 2.4 )",23.4,"(+/- 2.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",24.1,"(+/- 5.9 )",4.9,"(+/- 2.2 )",13.8,"(+/- 3.5 )",19.5,"(+/- 4.2 )",24.2,"(+/- 4.4 )",15.4,"(+/- 2.8 )",19.2,"(+/- 3.3 )",25.9,"(+/- 4.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",21.2,"(+/- 3.8 )",5.9,"(+/- 1.9 )",8.9,"(+/- 1.9 )",17.4,"(+/- 3.1 )",20.6,"(+/- 3.0 )",13.4,"(+/- 3.0 )",18.7,"(+/- 2.9 )",22.5,"(+/- 2.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",14.7,"(+/- 1.1 )",4.9,"(+/- 0.8 )",7.3,"(+/- 0.6 )",13.8,"(+/- 1.0 )",12.1,"(+/- 0.9 )",10.2,"(+/- 0.8 )",15.0,"(+/- 1.0 )",16.2,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",14.2,"(+/- 1.9 )",4.7,"(+/- 1.0 )",7.2,"(+/- 1.4 )",8.5,"(+/- 1.2 )",8.3,"(+/- 1.3 )",9.4,"(+/- 1.2 )",9.5,"(+/- 1.5 )",11.0,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",13.1,"(+/- 1.8 )",3.2,"(+/- 0.8 )",5.7,"(+/- 1.0 )",10.3,"(+/- 1.4 )",11.9,"(+/- 1.2 )",8.0,"(+/- 1.2 )",11.3,"(+/- 1.2 )",14.3,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",24.3,"(+/- 2.0 )",14.2,"(+/- 2.3 )",20.0,"(+/- 2.0 )",31.9,"(+/- 2.3 )",21.3,"(+/- 1.9 )",25.0,"(+/- 1.6 )",32.7,"(+/- 2.5 )",33.4,"(+/- 2.0 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",182026,"(+/- 6553 )",171242,"(+/- 6441 )",187630,"(+/- 5217 )",190938,"(+/- 5197 )",173326,"(+/- 5590 )",189298,"(+/- 5116 )",188907,"(+/- 5324 )",161434,"(+/- 3962 )"
Education,"School Enrollment","Nursery school, preschool",15301,"(+/- 2867 )",14548,"(+/- 1830 )",13191,"(+/- 1730 )",9608,"(+/- 1879 )",10901,"(+/- 1592 )",12542,"(+/- 1695 )",11155,"(+/- 1714 )",9292,"(+/- 1365 )"
Education,"School Enrollment",Kindergarten,8130,"(+/- 1929 )",9412,"(+/- 1479 )",9335,"(+/- 1469 )",9283,"(+/- 1578 )",9390,"(+/- 1595 )",9659,"(+/- 1891 )",10633,"(+/- 1924 )",8421,"(+/- 1448 )"
Education,"School Enrollment","Elementary school (grades 1-8)",69006,"(+/- 3394 )",70005,"(+/- 3946 )",84949,"(+/- 3823 )",76619,"(+/- 2513 )",79800,"(+/- 3693 )",80887,"(+/- 3457 )",78268,"(+/- 3038 )",73116,"(+/- 3082 )"
Education,"School Enrollment","High school (grades 9-12)",36062,"(+/- 3070 )",37352,"(+/- 2390 )",42865,"(+/- 2165 )",37101,"(+/- 2994 )",35719,"(+/- 2220 )",44336,"(+/- 2027 )",37048,"(+/- 2079 )",37125,"(+/- 2103 )"
Education,"School Enrollment","College or graduate school",53527,"(+/- 3660 )",39925,"(+/- 3551 )",37290,"(+/- 3204 )",58327,"(+/- 3585 )",37516,"(+/- 3408 )",41874,"(+/- 3151 )",51803,"(+/- 3701 )",33480,"(+/- 2721 )"
Education,"Educational Attainment","Population 25 years and over",499521,"(+/- 6734 )",541357,"(+/- 8593 )",554777,"(+/- 5709 )",510236,"(+/- 3785 )",535994,"(+/- 5057 )",525235,"(+/- 5496 )",529184,"(+/- 3438 )",509858,"(+/- 3288 )"
Education,"Educational Attainment","Less than 9th grade",12067,"(+/- 1994 )",7563,"(+/- 1574 )",13314,"(+/- 2227 )",17361,"(+/- 2058 )",14331,"(+/- 2549 )",15419,"(+/- 1755 )",19615,"(+/- 2619 )",22709,"(+/- 2385 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",35683,"(+/- 3229 )",17345,"(+/- 2423 )",34579,"(+/- 3521 )",31872,"(+/- 3054 )",32516,"(+/- 3491 )",26586,"(+/- 2276 )",37705,"(+/- 3323 )",53150,"(+/- 3958 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",136082,"(+/- 7230 )",99981,"(+/- 4698 )",169251,"(+/- 6341 )",175881,"(+/- 6184 )",169274,"(+/- 6797 )",184541,"(+/- 5328 )",173865,"(+/- 6813 )",199984,"(+/- 5391 )"
Education,"Educational Attainment","Some college, no degree",112593,"(+/- 6466 )",97226,"(+/- 5526 )",123831,"(+/- 5273 )",111948,"(+/- 5311 )",120869,"(+/- 5169 )",104322,"(+/- 4746 )",125459,"(+/- 6148 )",104238,"(+/- 5006 )"
Education,"Educational Attainment","Associate's degree",35541,"(+/- 4277 )",38644,"(+/- 3432 )",56545,"(+/- 4760 )",40755,"(+/- 3199 )",39542,"(+/- 3261 )",42942,"(+/- 2978 )",40891,"(+/- 4355 )",38861,"(+/- 3591 )"
Education,"Educational Attainment","Bachelor's degree",91555,"(+/- 5177 )",160405,"(+/- 6039 )",103767,"(+/- 5242 )",77284,"(+/- 4249 )",103015,"(+/- 5023 )",97673,"(+/- 5310 )",86832,"(+/- 4667 )",55277,"(+/- 3663 )"
Education,"Educational Attainment","Graduate or professional degree",76000,"(+/- 4507 )",120193,"(+/- 3960 )",53490,"(+/- 4203 )",55135,"(+/- 4012 )",56447,"(+/- 3736 )",53752,"(+/- 3217 )",44817,"(+/- 3513 )",35639,"(+/- 3536 )"
Education,"Educational Attainment","Percent high school graduate or higher",90.4,"(+/- 0.7 )",95.4,"(+/- 0.5 )",91.4,"(+/- 0.8 )",90.4,"(+/- 0.7 )",91.3,"(+/- 0.8 )",92.0,"(+/- 0.6 )",89.2,"(+/- 0.7 )",85.1,"(+/- 0.9 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",33.5,"(+/- 1.2 )",51.8,"(+/- 1.1 )",28.3,"(+/- 1.1 )",26.0,"(+/- 1.1 )",29.8,"(+/- 1.1 )",28.8,"(+/- 1.1 )",24.9,"(+/- 1.2 )",17.8,"(+/- 1.0 )"

"Source: 2019 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag","District 06 Estimate","District 06 Flag","District 07 Estimate","District 07 Flag","District 08 Estimate","District 08 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",417174,G,463185,G,240844,G,206594,G,415386,G,216642,G,310772,G,205169,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",223,J,82,H,93,J,184,G,86,H,273,H,239,H,509,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",26,J,307,G,490,G,271,H,205,H,284,H,356,G,1648,H
Business,"Paid employees for pay period including March 12",Utilities,4211,J,1198,H,2344,J,1492,G,1958,H,1338,H,1426,G,1619,J
Business,"Paid employees for pay period including March 12",Construction,19697,G,22632,G,18719,G,10483,G,24023,G,11217,G,13047,G,9120,G
Business,"Paid employees for pay period including March 12",Manufacturing,44863,G,18879,G,35365,G,26112,G,39599,G,31421,G,39242,G,32426,G
Business,"Paid employees for pay period including March 12","Wholesale trade",26211,G,17483,G,10647,G,6408,G,33819,H,9292,G,16429,G,8380,G
Business,"Paid employees for pay period including March 12","Retail trade",28604,G,52639,G,38115,G,34584,G,40900,G,35377,G,43334,G,34021,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",19695,G,6452,G,8930,G,6905,G,12870,G,8683,G,18137,G,7765,G
Business,"Paid employees for pay period including March 12",Information,9971,H,15159,H,5665,H,2883,H,11715,G,3521,G,6827,G,2867,G
Business,"Paid employees for pay period including March 12","Finance and insurance",19490,G,40310,G,8614,G,11885,G,25458,G,10014,G,11222,G,7947,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",6106,G,6987,G,2708,G,2666,G,5438,G,3177,G,5991,G,2572,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",24438,G,46828,G,9510,G,8985,G,46497,H,7106,G,12240,G,4529,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",23555,G,38012,H,2649,H,1942,H,9321,G,2528,G,9463,G,1760,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",29324,G,33548,G,11235,G,8376,G,20690,G,9735,G,17814,G,6342,G
Business,"Paid employees for pay period including March 12","Educational services",35337,H,12860,G,6175,H,3703,G,8393,G,4995,H,5052,G,886,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",63114,G,72251,H,35108,G,41213,G,64247,G,36720,G,53063,G,50038,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",7328,G,10044,G,3527,G,2127,G,7758,G,3388,H,6144,G,1783,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",39601,G,45923,G,29189,G,27014,G,42289,G,27090,G,36547,G,21848,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",15241,G,21554,G,11701,G,9307,G,19967,G,10421,G,14140,G,8932,G
Business,"Paid employees for pay period including March 12","Industries not classified",139,J,37,J,60,J,54,J,153,J,62,H,59,J,177,J
Business,"Annual payroll ($1,000)","Total for all sectors",24650438,G,25922928,G,9406458,G,7355558,G,22473156,G,8596551,G,12273228,G,7160719,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",8311,J,1716,G,2500,H,4911,G,3107,H,10147,H,5965,H,22089,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",1633,J,20406,G,29524,G,14716,H,15854,H,14958,G,18431,G,110018,H
Business,"Annual payroll ($1,000)",Utilities,498709,J,123545,H,262827,J,130491,G,221668,H,127991,H,119318,G,136488,H
Business,"Annual payroll ($1,000)",Construction,1514472,G,1474811,G,999193,G,505882,G,1713711,G,677434,G,598781,G,426173,G
Business,"Annual payroll ($1,000)",Manufacturing,3425724,H,1125241,G,1919355,G,1114684,G,2535650,G,1724287,G,1772352,G,1422422,G
Business,"Annual payroll ($1,000)","Wholesale trade",1913947,G,1574509,G,563763,G,288746,G,1415860,G,514619,G,830788,G,392948,G
Business,"Annual payroll ($1,000)","Retail trade",847058,G,1496740,G,1008545,G,871004,G,1135363,G,856276,G,1136589,G,840579,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",941113,G,349975,G,417976,G,256114,G,556660,G,381136,G,873875,G,335600,G
Business,"Annual payroll ($1,000)",Information,765347,H,1294238,H,258498,H,127619,G,928278,H,139562,G,390155,G,130200,H
Business,"Annual payroll ($1,000)","Finance and insurance",1915122,G,4015437,G,466001,G,740658,G,2177711,G,584869,G,573302,G,419565,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",273635,G,422028,G,105343,G,90936,G,328125,G,132773,G,208066,G,80528,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1943148,G,3409672,G,394710,G,405046,G,4176519,H,370908,G,811220,G,179209,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",2878009,H,2955921,H,163201,H,91898,H,854870,G,238042,H,649143,G,103364,G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",858573,G,1507487,G,373160,G,226706,G,670593,G,311145,G,502724,G,166285,G
Business,"Annual payroll ($1,000)","Educational services",2167678,H,416134,G,154138,H,97908,H,286699,G,131221,H,125330,H,17470,G
Business,"Annual payroll ($1,000)","Health care and social assistance",2666254,H,4060627,H,1391459,G,1736186,G,3418445,G,1624251,G,2526855,G,1832140,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",728593,G,199685,G,64898,G,34451,G,561417,G,51516,H,130135,G,34403,G
Business,"Annual payroll ($1,000)","Accommodation and food services",772964,G,820063,G,479718,G,396087,G,826155,G,428289,G,632390,G,307069,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",528552,G,653876,G,351089,G,220756,G,644970,G,275991,G,367202,G,203001,G
Business,"Annual payroll ($1,000)","Industries not classified",1596,G,817,G,560,G,759,G,1501,G,1136,G,607,G,1168,G
Business,"Total Establishments","Total for all sectors",20207,X,25140,X,17805,X,16256,X,20601,X,16451,X,19381,X,17235,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",3,X,11,X,31,X,47,X,18,X,60,X,35,X,105,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",3,X,14,X,40,X,44,X,14,X,44,X,28,X,71,X
Business,"Total Establishments",Utilities,30,X,21,X,53,X,56,X,28,X,62,X,46,X,74,X
Business,"Total Establishments",Construction,965,X,1844,X,2446,X,1853,X,1536,X,1679,X,1771,X,1438,X
Business,"Total Establishments",Manufacturing,791,X,573,X,771,X,603,X,763,X,536,X,805,X,838,X
Business,"Total Establishments","Wholesale trade",1121,X,1331,X,774,X,592,X,1109,X,809,X,869,X,693,X
Business,"Total Establishments","Retail trade",1989,X,2823,X,2536,X,2475,X,2482,X,2332,X,3000,X,2775,X
Business,"Total Establishments","Transportation and warehousing",528,X,542,X,572,X,563,X,570,X,663,X,770,X,797,X
Business,"Total Establishments",Information,340,X,469,X,272,X,294,X,406,X,287,X,323,X,280,X
Business,"Total Establishments","Finance and insurance",797,X,2516,X,1190,X,1073,X,1270,X,1236,X,1315,X,1126,X
Business,"Total Establishments","Real estate and rental and leasing",784,X,1270,X,730,X,698,X,921,X,711,X,963,X,567,X
Business,"Total Establishments","Professional, scientific, and technical services",1793,X,3264,X,1364,X,1176,X,2499,X,1352,X,1597,X,936,X
Business,"Total Establishments","Management of companies and enterprises",298,X,565,X,75,X,57,X,190,X,70,X,120,X,69,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",858,X,1509,X,984,X,769,X,977,X,811,X,922,X,563,X
Business,"Total Establishments","Educational services",264,X,366,X,194,X,138,X,248,X,166,X,161,X,91,X
Business,"Total Establishments","Health care and social assistance",5536,X,3579,X,2076,X,2180,X,3285,X,2105,X,2238,X,3285,X
Business,"Total Establishments","Arts, entertainment, and recreation",239,X,443,X,271,X,234,X,299,X,258,X,361,X,186,X
Business,"Total Establishments","Accommodation and food services",1770,X,1822,X,1472,X,1484,X,1780,X,1331,X,1920,X,1339,X
Business,"Total Establishments","Other services (except public administration)",1833,X,2124,X,1904,X,1859,X,2086,X,1864,X,2084,X,1803,X
Business,"Total Establishments","Industries not classified",265,X,54,X,50,X,61,X,120,X,75,X,53,X,199,X

"Source: 2018 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. Beginning with reference year 2017, a cell is only published if it contains three or more establishments.  In all other cases, the cell is not included in the release (i.e., it is dropped from publication).  In prior years, employment and payroll values for cells with fewer than three establishments would have been suppressed; however, the number of establishments would have been published."
"5. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
