cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
Business,"Paid employees for pay period including March 12",Construction,9258,G,11738,G,17984,G,11961,G,5097,G,16613,G
Business,"Paid employees for pay period including March 12",Manufacturing,51554,G,49976,G,49600,G,34230,G,17618,G,43967,G
Business,"Paid employees for pay period including March 12","Wholesale trade",7938,G,7831,G,20987,G,14997,G,5049,G,10715,G
Business,"Paid employees for pay period including March 12","Retail trade",32467,H,35511,H,43452,G,35010,H,28779,G,41491,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",13188,G,9276,G,39418,J,21920,H,5651,G,8190,G
Business,"Paid employees for pay period including March 12",Information,2565,G,2978,G,10601,H,3133,G,4048,H,6787,H
Business,"Paid employees for pay period including March 12","Finance and insurance",6675,G,8716,G,29358,H,13347,G,5402,G,8992,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",2050,G,2487,G,5675,H,3033,H,1617,G,3401,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",5580,G,7313,G,23312,G,9510,G,9129,H,17524,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",856,G,3172,G,23519,G,5036,G,1224,G,4931,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",9363,G,14733,G,28963,G,17177,G,8783,H,19328,G
Business,"Paid employees for pay period including March 12","Educational services",2978,H,4739,H,8522,G,4099,H,3975,G,5150,H
Business,"Paid employees for pay period including March 12","Health care and social assistance",33809,G,37568,G,66235,G,35770,H,36837,G,48838,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",1731,H,2305,G,5875,G,4153,G,579,G,4194,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",22650,G,27411,G,45908,G,30559,G,18342,G,37006,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",8387,G,9468,G,19585,G,10374,G,4152,G,12817,G
Business,"Paid employees for pay period including March 12","Industries not classified",31,G,21,J,9,G,11,J,50,H,52,J
Business,"Annual payroll ($1,000)","Total for all sectors",8154624,G,9249852,G,23013934,G,11631222,G,5537331,G,12614859,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",4430,G,3809,H,770,G,12831,H,2677,G,30662,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",241929,H,31852,G,6884,G,15795,J,321005,H,22246,H
Business,"Annual payroll ($1,000)",Utilities,101749,H,90539,G,234441,J,157876,H,79088,H,128720,G
Business,"Annual payroll ($1,000)",Construction,459090,G,574891,G,975325,G,675668,G,218221,G,944203,G
Business,"Annual payroll ($1,000)",Manufacturing,2420872,G,2620959,G,3068415,G,2067207,G,696090,G,2527781,G
Business,"Annual payroll ($1,000)","Wholesale trade",370855,G,372425,G,1307008,G,1155713,H,208028,G,624567,G
Business,"Annual payroll ($1,000)","Retail trade",831844,H,916765,H,1182701,G,930418,G,712399,G,1112712,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",596768,G,443627,G,2721532,J,1125171,H,234735,G,367869,G
Business,"Annual payroll ($1,000)",Information,115659,G,133723,G,627721,H,159844,G,136027,H,285340,H
Business,"Annual payroll ($1,000)","Finance and insurance",326567,G,460740,G,2714977,H,918344,G,230501,G,585827,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",68457,G,76379,G,298230,G,154169,H,56913,G,123405,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",244028,G,385620,H,1486473,G,597716,G,225015,H,1024405,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",59386,G,227844,H,1994521,G,452520,G,68564,H,454864,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",289018,G,376510,G,909885,G,498904,G,268750,H,653186,G
Business,"Annual payroll ($1,000)","Educational services",73835,H,102392,G,305910,G,117284,H,96344,G,143943,H
Business,"Annual payroll ($1,000)","Health care and social assistance",1404014,G,1751210,G,3592377,G,1728962,H,1618814,G,2475988,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",35114,H,43895,G,169801,G,71216,G,10981,G,109709,G
Business,"Annual payroll ($1,000)","Accommodation and food services",305549,G,402633,G,799383,G,484317,G,255538,G,611462,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",204515,G,233719,G,617399,G,306989,G,96914,G,387005,G
Business,"Annual payroll ($1,000)","Industries not classified",945,H,320,G,181,G,278,G,727,G,965,G
Business,"Total Establishments","Total for all sectors",14293,X,14084,X,19381,X,14392,X,11138,X,17144,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",44,X,25,X,4,X,40,X,33,X,78,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",66,X,53,X,4,X,19,X,190,X,33,X
Business,"Total Establishments",Utilities,68,X,50,X,35,X,73,X,56,X,59,X
Business,"Total Establishments",Construction,1173,X,1486,X,1361,X,1439,X,685,X,1322,X
Business,"Total Establishments",Manufacturing,784,X,615,X,680,X,597,X,367,X,644,X
Business,"Total Establishments","Wholesale trade",667,X,563,X,1060,X,693,X,393,X,702,X
Business,"Total Establishments","Retail trade",2696,X,2466,X,2582,X,2111,X,2429,X,2583,X
Business,"Total Establishments","Transportation and warehousing",520,X,462,X,563,X,581,X,487,X,372,X
Business,"Total Establishments",Information,229,X,205,X,388,X,215,X,261,X,360,X
Business,"Total Establishments","Finance and insurance",953,X,997,X,1448,X,941,X,766,X,1143,X
Business,"Total Establishments","Real estate and rental and leasing",473,X,576,X,1064,X,635,X,371,X,853,X
Business,"Total Establishments","Professional, scientific, and technical services",938,X,931,X,2168,X,1356,X,770,X,1858,X
Business,"Total Establishments","Management of companies and enterprises",62,X,66,X,264,X,111,X,62,X,93,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",519,X,619,X,1081,X,708,X,341,X,807,X
Business,"Total Establishments","Educational services",121,X,126,X,241,X,133,X,79,X,201,X
Business,"Total Establishments","Health care and social assistance",1764,X,1829,X,2465,X,1624,X,1743,X,2321,X
Business,"Total Establishments","Arts, entertainment, and recreation",156,X,209,X,321,X,226,X,92,X,303,X
Business,"Total Establishments","Accommodation and food services",1266,X,1240,X,1796,X,1392,X,957,X,1606,X
Business,"Total Establishments","Other services (except public administration)",1760,X,1544,X,1839,X,1480,X,1024,X,1773,X
Business,"Total Establishments","Industries not classified",34,X,22,X,17,X,18,X,32,X,33,X

"Source: 2018 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. Beginning with reference year 2017, a cell is only published if it contains three or more establishments.  In all other cases, the cell is not included in the release (i.e., it is dropped from publication).  In prior years, employment and payroll values for cells with fewer than three establishments would have been suppressed; however, the number of establishments would have been published."
"5. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
